order,p,d,q,AIC,BIC,converged
"ARIMA(1,1,1)",1,1,1,2968.12,2979.37,True
"ARIMA(3,1,2)",3,1,2,2970.37,2990.06,True
"ARIMA(0,1,2)",0,1,2,2970.71,2981.96,True
"ARIMA(2,1,3)",2,1,3,2971.4,2991.08,True
"ARIMA(3,1,3)",3,1,3,2972.33,2994.82,True
"ARIMA(0,1,3)",0,1,3,2972.9,2986.96,True
"ARIMA(2,1,0)",2,1,0,2973.46,2984.71,True
"ARIMA(1,1,2)",1,1,2,2973.48,2987.55,True
"ARIMA(2,1,1)",2,1,1,2973.85,2987.91,True
"ARIMA(0,1,1)",0,1,1,2974.29,2982.73,True
"ARIMA(3,1,0)",3,1,0,2974.92,2988.98,True
"ARIMA(1,1,3)",1,1,3,2975.04,2991.92,True
"ARIMA(3,1,1)",3,1,1,2975.63,2992.51,True
"ARIMA(2,1,2)",2,1,2,2975.66,2992.53,True
"ARIMA(1,1,0)",1,1,0,2978.54,2986.98,True
