Date,SARIMA,Holt-Winters,ARIMA,Combination
2026-05,257606,256931,243781,250356
2026-06,289733,285378,241064,263221
2026-07,272292,265805,239692,252748
2026-08,238485,243453,238999,241226
2026-09,245931,233420,238649,236035
2026-10,255415,240898,238473,239685
2026-11,269462,261108,238384,249746
2026-12,268348,256744,238339,247541
2027-01,221132,212637,238316,225476
2027-02,231489,223536,238305,230920
2027-03,296566,287339,238299,262819
2027-04,259138,245103,238296,241699
2027-05,267211,256931,238294,247613
2027-06,299337,285378,238294,261836
2027-07,281896,265805,238293,252049
2027-08,248089,243453,238293,240873
2027-09,255536,233420,238293,235856
2027-10,265020,240898,238293,239595
2027-11,279067,261108,238293,249700
2027-12,277952,256744,238293,247518
