Model,ME,MAE,RMSE,MAPE_%,SMAPE_%,Theil_U_InSample,Theil_U_OOS,LB_pvalue,White_Noise,Shapiro_pvalue,Normal_Residuals,Beats_Naive_OOS,Proj_2026,Note
Mean,0,36906,45628,15.37,14.67,1.0169,1.1129,0.0,No,0.3399,Yes,NO,2980513,Training-sample mean as a constant forecast (no trend/seasonality).
MA(3),-377,29590,40938,12.43,11.94,0.9124,0.9069,0.0,No,0.0034,No,YES,2960796,"Average of the last 3 months — reacts fast, chases noise."
MA(12),-1950,31211,40260,13.2,12.4,0.8973,0.9181,0.0,No,0.0512,Yes,YES,2881139,Average of the last 12 months — smooths a full seasonal cycle away.
WMA(3),519,29410,41078,12.27,11.87,0.9155,0.9141,0.0,No,0.0016,No,YES,3011331,"Weighted average of last 3 months, newest month weighted most."
WMA(12),-225,31531,40678,13.15,12.55,0.9066,0.8909,0.0,No,0.2295,Yes,YES,2883318,Linearly-weighted average over the last 12 months.
SES,-1334,30307,39577,12.75,12.1,0.8821,0.9573,0.0001,No,0.1829,Yes,YES,2891478,"Single exponential smoothing — optimised level only, no trend."
Holt Damped,424,30342,39554,12.69,12.11,0.8815,0.9095,0.0001,No,0.1972,Yes,YES,2872929,Holt linear trend with damping — level + decaying trend.
Lin. Reg.,0,19416,27284,8.26,7.95,0.6081,0.9824,0.0499,No,0.001,No,YES,2851472,"OLS with trend, monthly dummies, COVID dummy and AR lags (stepwise AIC)."
ARIMA,10298,31673,45270,12.65,13.63,1.0089,0.92,0.006,No,0.0,No,YES,2865947,"ARIMA(1,1,1) + COVID dummy — non-seasonal Box-Jenkins."
SARIMA,-1433,31621,45840,13.22,13.56,1.0216,0.8961,0.2545,Yes,0.0,No,YES,3045838,"SARIMA(0,1,1)(0,1,1)[12] + COVID dummy — seasonal Box-Jenkins."
Holt-Winters,-357,21480,30146,9.05,8.72,0.6719,0.887,0.0796,Yes,0.0,No,YES,2992302,"Holt-Winters multiplicative, no trend — level + seasonal factors."
Combination,4971,24064,33614,9.83,9.8,0.7492,0.8544,0.1658,Yes,0.0068,No,YES,2929124,Equal-weight average of Holt-Winters and ARIMA (Bates & Granger 1969).
