model_name,owner,backtest_origin_date,horizon,actual,forecast
"SARIMA(0,1,1)(0,1,1)[12]+exog",modeler2,2019-12-01,1,246300,299619.56344027584
"SARIMA(0,1,1)(0,1,1)[12]+exog",modeler2,2020-01-01,1,239943,281217.2988467047
"SARIMA(0,1,1)(0,1,1)[12]+exog",modeler2,2020-02-01,1,215119,349587.00625917857
"SARIMA(0,1,1)(0,1,1)[12]+exog",modeler2,2020-03-01,1,120840,248247.96461323474
"SARIMA(0,1,1)(0,1,1)[12]+exog",modeler2,2020-04-01,1,168148,166556.62278768056
"SARIMA(0,1,1)(0,1,1)[12]+exog",modeler2,2020-05-01,1,220272,159948.62314319762
"SARIMA(0,1,1)(0,1,1)[12]+exog",modeler2,2020-06-01,1,314938,201765.55971575482
"SARIMA(0,1,1)(0,1,1)[12]+exog",modeler2,2020-07-01,1,251044,265307.72854905896
"SARIMA(0,1,1)(0,1,1)[12]+exog",modeler2,2020-08-01,1,265227,185510.06363576686
"SARIMA(0,1,1)(0,1,1)[12]+exog",modeler2,2020-09-01,1,274303,279680.44662361813
"SARIMA(0,1,1)(0,1,1)[12]+exog",modeler2,2020-10-01,1,290150,290270.74599844846
"SARIMA(0,1,1)(0,1,1)[12]+exog",modeler2,2020-11-01,1,311394,6.454473344498081e+16
"SARIMA(0,1,1)(0,1,1)[12]+exog",modeler2,2020-12-01,1,169754,261623.406938816
"SARIMA(0,1,1)(0,1,1)[12]+exog",modeler2,2021-01-01,1,194349,197669.0608060562
"SARIMA(0,1,1)(0,1,1)[12]+exog",modeler2,2021-02-01,1,292349,159386.03183535958
"SARIMA(0,1,1)(0,1,1)[12]+exog",modeler2,2021-03-01,1,229650,231383.25229323463
"SARIMA(0,1,1)(0,1,1)[12]+exog",modeler2,2021-04-01,1,230635,260962.37422992743
"SARIMA(0,1,1)(0,1,1)[12]+exog",modeler2,2021-05-01,1,274152,273645.3915792344
"SARIMA(0,1,1)(0,1,1)[12]+exog",modeler2,2021-06-01,1,236393,324860.9427509181
"SARIMA(0,1,1)(0,1,1)[12]+exog",modeler2,2021-07-01,1,193307,221181.26639180642
"SARIMA(0,1,1)(0,1,1)[12]+exog",modeler2,2021-08-01,1,196972,179556.69733391755
"SARIMA(0,1,1)(0,1,1)[12]+exog",modeler2,2021-09-01,1,178683,210824.67357996787
"SARIMA(0,1,1)(0,1,1)[12]+exog",modeler2,2021-10-01,1,198258,204641.05292532587
"SARIMA(0,1,1)(0,1,1)[12]+exog",modeler2,2021-11-01,1,227630,197817.5925807953
"SARIMA(0,1,1)(0,1,1)[12]+exog",modeler2,2021-12-01,1,184112,149220.38922778112
"SARIMA(0,1,1)(0,1,1)[12]+exog",modeler2,2022-01-01,1,200512,186268.20968399645
"SARIMA(0,1,1)(0,1,1)[12]+exog",modeler2,2022-02-01,1,241330,257800.94891395498
"SARIMA(0,1,1)(0,1,1)[12]+exog",modeler2,2022-03-01,1,180264,195527.20261064003
"SARIMA(0,1,1)(0,1,1)[12]+exog",modeler2,2022-04-01,1,207199,199874.05535675617
"SARIMA(0,1,1)(0,1,1)[12]+exog",modeler2,2022-05-01,1,224558,240671.51888732045
"SARIMA(0,1,1)(0,1,1)[12]+exog",modeler2,2022-06-01,1,205911,231714.6691779459
"SARIMA(0,1,1)(0,1,1)[12]+exog",modeler2,2022-07-01,1,199183,173395.88285117128
"SARIMA(0,1,1)(0,1,1)[12]+exog",modeler2,2022-08-01,1,224816,181253.35741307616
"SARIMA(0,1,1)(0,1,1)[12]+exog",modeler2,2022-09-01,1,208642,214317.3530955327
"SARIMA(0,1,1)(0,1,1)[12]+exog",modeler2,2022-10-01,1,260512,227999.28349016228
"SARIMA(0,1,1)(0,1,1)[12]+exog",modeler2,2022-11-01,1,314318,262456.4434722307
"SARIMA(0,1,1)(0,1,1)[12]+exog",modeler2,2022-12-01,1,179247,245953.36130467727
"SARIMA(0,1,1)(0,1,1)[12]+exog",modeler2,2023-01-01,1,206210,212261.756466377
"SARIMA(0,1,1)(0,1,1)[12]+exog",modeler2,2023-02-01,1,281361,259790.49316798133
"SARIMA(0,1,1)(0,1,1)[12]+exog",modeler2,2023-03-01,1,202947,218374.0591361981
"SARIMA(0,1,1)(0,1,1)[12]+exog",modeler2,2023-04-01,1,246966,228665.23939626923
"SARIMA(0,1,1)(0,1,1)[12]+exog",modeler2,2023-05-01,1,280139,268458.8663492938
"SARIMA(0,1,1)(0,1,1)[12]+exog",modeler2,2023-06-01,1,243277,268457.2654169042
"SARIMA(0,1,1)(0,1,1)[12]+exog",modeler2,2023-07-01,1,273417,226961.8482641632
"SARIMA(0,1,1)(0,1,1)[12]+exog",modeler2,2023-08-01,1,224502,266561.5350341024
"SARIMA(0,1,1)(0,1,1)[12]+exog",modeler2,2023-09-01,1,218959,231082.859278209
"SARIMA(0,1,1)(0,1,1)[12]+exog",modeler2,2023-10-01,1,245701,257360.76167281525
"SARIMA(0,1,1)(0,1,1)[12]+exog",modeler2,2023-11-01,1,241883,282262.3744236703
"SARIMA(0,1,1)(0,1,1)[12]+exog",modeler2,2023-12-01,1,213553,162261.18374767288
"SARIMA(0,1,1)(0,1,1)[12]+exog",modeler2,2024-01-01,1,217388,215947.91811293355
"SARIMA(0,1,1)(0,1,1)[12]+exog",modeler2,2024-02-01,1,263844,279293.8705958301
"SARIMA(0,1,1)(0,1,1)[12]+exog",modeler2,2024-03-01,1,243102,203676.0247170008
"SARIMA(0,1,1)(0,1,1)[12]+exog",modeler2,2024-04-01,1,236425,260088.8138384532
"SARIMA(0,1,1)(0,1,1)[12]+exog",modeler2,2024-05-01,1,297329,274748.9722934489
"SARIMA(0,1,1)(0,1,1)[12]+exog",modeler2,2024-06-01,1,238263,269084.66859362094
"SARIMA(0,1,1)(0,1,1)[12]+exog",modeler2,2024-07-01,1,197322,249067.5637660242
"SARIMA(0,1,1)(0,1,1)[12]+exog",modeler2,2024-08-01,1,208848,197027.7402697302
"SARIMA(0,1,1)(0,1,1)[12]+exog",modeler2,2024-09-01,1,231992,199040.7727258199
"SARIMA(0,1,1)(0,1,1)[12]+exog",modeler2,2024-10-01,1,244544,250023.26158354775
"SARIMA(0,1,1)(0,1,1)[12]+exog",modeler2,2024-11-01,1,224721,261392.45101641607
"SARIMA(0,1,1)(0,1,1)[12]+exog",modeler2,2024-12-01,1,207640,176236.7536422917
"SARIMA(0,1,1)(0,1,1)[12]+exog",modeler2,2025-01-01,1,203434,208329.90255411115
"SARIMA(0,1,1)(0,1,1)[12]+exog",modeler2,2025-02-01,1,253497,260615.22244979863
"SARIMA(0,1,1)(0,1,1)[12]+exog",modeler2,2025-03-01,1,242728,210311.74860167544
"SARIMA(0,1,1)(0,1,1)[12]+exog",modeler2,2025-04-01,1,239297,244912.50844317695
"SARIMA(0,1,1)(0,1,1)[12]+exog",modeler2,2025-05-01,1,256193,284725.1550837954
"SARIMA(0,1,1)(0,1,1)[12]+exog",modeler2,2025-06-01,1,264802,230440.7815922498
"SARIMA(0,1,1)(0,1,1)[12]+exog",modeler2,2025-07-01,1,207229,233306.6536666423
"SARIMA(0,1,1)(0,1,1)[12]+exog",modeler2,2025-08-01,1,235528,211848.3796233953
"SARIMA(0,1,1)(0,1,1)[12]+exog",modeler2,2025-09-01,1,250133,232945.51386252893
"SARIMA(0,1,1)(0,1,1)[12]+exog",modeler2,2025-10-01,1,250671,265876.334801577
"SARIMA(0,1,1)(0,1,1)[12]+exog",modeler2,2025-11-01,1,246439,256624.10276024
"SARIMA(0,1,1)(0,1,1)[12]+exog",modeler2,2025-12-01,1,193981,207838.4597265403
"SARIMA(0,1,1)(0,1,1)[12]+exog",modeler2,2026-01-01,1,211262,204686.19705209316
"SARIMA(0,1,1)(0,1,1)[12]+exog",modeler2,2026-02-01,1,294161,261757.94734865648
"SARIMA(0,1,1)(0,1,1)[12]+exog",modeler2,2026-03-01,1,249163,250449.4046058042
